Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1000),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [null],SKU [null],Packaging [null],Unit Price (@ Batch Size: 1000) [null],Line Total [null],Batch Total [null],In Stock [null],MOQ [null],URL [null],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,
1,RC1608J000CS,Samsung,RC1608J000CS,https://octopart.com/rc1608j000cs-samsung-9300838,F1,,FERRITE SM 0603,1000,1276-3510-1-ND,,,Cut Tape,,,0.00266501367,,,1140382,,,1,,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=09c616b&sid=459&ppid=9300838&vpid=72530092&ct=offers,,,Digi-Key,1276-3510-1-ND,Cut Tape,0.00266501367,0.00266501367,2.66501367,1140382,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=09c616b&sid=459&ppid=9300838&vpid=72530092&ct=offers,
1,1050170001,Molex,105017-0001,https://octopart.com/105017-0001-molex-18688631,J1,,CONN SM TH USB MICRO MODIFIED FOR DRILL,1000,WM1399CT-ND,105017-0001,28X2628,Cut Tape,,Tape & Reel,0.68224349952,1.023251238,0.5044999139999999,22873,21229,14000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0e1b077&sid=459&ppid=18688631&vpid=114456581&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0f34f6d&sid=2401&ppid=18688631&vpid=37791263&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0d4955b&sid=2402&ppid=18688631&vpid=200290951&ct=offers,TME,MX-105017-0001,,0.431817723,0.431817723,431.817723,1210,2,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0ab1deb&sid=1532&ppid=18688631&vpid=127346575&ct=offers,
1,SPC20500,Multicomp,SPC20500,https://octopart.com/spc20500-multicomp-22002485,PWR,,"Header, 3-Pin, Dual row",1000,,,93K5753,,,,,,0.366261237,,,1767,,,1,,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0dca2ca&sid=2402&ppid=22002485&vpid=200356473&ct=offers,Farnell,1258966,,0.23155274702318782,0.23155274702318782,231.5527470231878,937,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=05e49a4&sid=819&ppid=22002485&vpid=139126361&ct=offers,
4,ERJ3EKF2202V,Panasonic,ERJ-3EKF2202V,https://octopart.com/erj-3ekf2202v-panasonic-12787598,"R1, R2, R7, R8",,RES SM 0603 22K,4000,P22.0KHCT-ND,ERJ-3EKF2202V,90W3159,Cut Tape,,Tape & Reel,0.00540128439,0.011401128,0.004275423,126065,80376,35000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=07514e6&sid=459&ppid=12787598&vpid=114963152&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=05b6f77&sid=2401&ppid=12787598&vpid=114999406&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=085e8ae&sid=2402&ppid=12787598&vpid=166627101&ct=offers,Area51,ERJ-3EKF2202V,,0.002850282,0.011401128,11.401128,4975,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=08d4ca5&sid=13811&ppid=12787598&vpid=189253288&ct=offers,
4,ERJ3EKF2200V,Panasonic,ERJ-3EKF2200V,https://octopart.com/erj-3ekf2200v-panasonic-12588713,"R4, R6, R10, R11",,RES SM 0603 220R,4000,P220HCT-ND,ERJ-3EKF2200V,90W3157,Cut Tape,,Tape & Reel,0.00540128439,0.011401128,0.004275423,480758,175174,60000,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0a2b966&sid=459&ppid=12588713&vpid=115259514&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0ec5594&sid=2401&ppid=12588713&vpid=115231413&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0b7e5b7&sid=2402&ppid=12588713&vpid=118542643&ct=offers,Components Direct,ERJ-3EKF2200V,,0.001425141,0.005700564,5.700564,82877,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=032005a&sid=12935&ppid=12588713&vpid=181382024&ct=offers,
1,LP2980IM5-3.3,Texas Instruments,LP2980IM5-3.3/NOPB,https://octopart.com/lp2980im5-3.3%2Fnopb-texas+instruments-24816256,REG1,,IC REG LDO 3V 50mA,1000,LP2980IM5-3.3/NOPBTR-ND,LP2980IM5-3.3/NOPB,28X3566,Tape & Reel,,Tape & Reel,0.39476405700000006,0.5871580919999999,0.32778243,5000,8515,2000,1000,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06290ca&sid=459&ppid=24816256&vpid=57510052&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=015a431&sid=2401&ppid=24816256&vpid=57207369&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=031cb35&sid=2402&ppid=24816256&vpid=121006215&ct=offers,Schukat,LP2980IM5-3.3,,0.31809385489065944,0.31809385489065944,318.09385489065943,1790,10,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=057918c&sid=15176&ppid=24816256&vpid=133121184&ct=offers,
2,KMR231NG ULC LFS,C&K Components,KMR231NGULCLFS,https://octopart.com/kmr231ngulclfs-c%26k+components-7882095,"RST, USR",,PB SW SM TOP,2000,,,,,,,,,,,,,,,,,,,Onlinecomponents.com,KMR231NGULCLFS,,0.290728764,0.581457528,581.4575279999999,41589,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0c6a888&sid=2429&ppid=7882095&vpid=11962248&ct=offers,
1,EFM32LG332F256-QFP64,Silicon Laboratories,EFM32LG332F256-QFP64,https://octopart.com/efm32lg332f256-qfp64-silicon+laboratories-30290154,U4,,"EFM32 Giant Gecko, M3 ARM Cortex CPU, 1024 KB Flash, 128 KB RAM, 1.85 - 3.8 V Supply, 48 MHz Max Speed, -40 to 85 degC, 64-Pin TQFP, RoHS Compliant",1000,914-1073-2-ND,,,Tape & Reel,,,5.463990594,,,0,,,1000,,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06c86d1&sid=459&ppid=30290154&vpid=87537984&ct=offers,,,Digi-Key,914-1073-2-ND,Tape & Reel,5.463990594,5.463990594,5463.990594,0,1000,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06c86d1&sid=459&ppid=30290154&vpid=87537984&ct=offers,
1,ABM10-48.000MHZ-D30-T3,Abracon,ABM10-48.000MHZ-D30-T3,https://octopart.com/abm10-48.000mhz-d30-t3-abracon-19955892,X1,,XTAL SMT 2.5x2.0mm 48MHz,1000,535-10938-1-ND,,40Y1967,Cut Tape,,,1.0357924788,,1.274076054,4229,,0,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=023180c&sid=459&ppid=19955892&vpid=37175597&ct=offers,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0bbb536&sid=2402&ppid=19955892&vpid=184493474&ct=offers,Farnell,2467772,,0.9923689158136622,0.9923689158136622,992.3689158136622,2974,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=07f6164&sid=819&ppid=19955892&vpid=202681103&ct=offers,
1,22284060,Molex,22-28-4060,https://octopart.com/22-28-4060-molex-278174,"ADC
",,CONN SM HDR 2.54MM 6POS,1000,,22-28-4060,94C4038,,,,,0.304980174,0.212346009,,537,479,,,1,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0baab25&sid=2401&ppid=278174&vpid=37606799&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=00bc926&sid=2402&ppid=278174&vpid=200294143&ct=offers,Heilind Electronics,MOL22-28-4060,Bulk,0.13684203881999998,0.13684203881999998,136.84203881999997,4481,0,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=07ba14d&sid=8539&ppid=278174&vpid=20581036&ct=offers,
